FILIAL;REGIAO
609;Ponta Grossa
610;Ponta Grossa
611;Dos Vales
612;Serra
614;Umuarama
615;Cascavel
616;Maringa
618;Centro
619;Cascavel
620;Cascavel
621;Presidente Prudente
622;Ponta Grossa
623;Dos Vales
624;Lages
625;Presidente Prudente
626;Lages
627;Cascavel
628;Londrina
629;Presidente Prudente
